"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-3124","0","1","0","0","1","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"hsa-mir-3125","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-3126","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-3127","7","5","11","8","2","12","4","3","17","0","3","3","18","9","10","7","14","6","5","35","18","6","24","2","11","7","19","16","43","38","16","21","21","40","40"
"hsa-mir-3128","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3129","0","1","1","1","0","2","1","1","0","0","0","0","4","0","2","1","0","0","0","2","3","0","0","1","1","0","1","0","3","1","1","3","0","0","0"
"hsa-mir-3130-1","0","11","3","10","0","16","0","13","14","0","2","0","43","12","10","14","10","2","1","36","33","1","6","4","9","0","2","15","11","11","8","13","0","15","15"
"hsa-mir-3130-2","0","8","5","19","0","18","3","11","25","1","0","3","45","11","6","18","7","3","0","39","20","0","8","1","13","1","3","13","9","26","10","11","0","12","15"
"hsa-mir-3131","0","2","0","11","0","3","0","5","6","0","0","0","18","9","15","15","4","0","0","28","2","4","54","1","3","3","3","2","0","5","10","2","3","0","0"
"hsa-mir-3132","0","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-3133","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","3","0","0","1","0","0","0","0","1","0","0","0","1","0","0"
"hsa-mir-3134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3135a","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3135b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3136","0","0","0","0","0","1","0","0","7","0","0","0","13","5","3","4","4","0","0","7","1","0","0","2","2","0","1","3","4","7","4","5","1","2","6"
"hsa-mir-3137","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-3138","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","0","0"
"hsa-mir-3139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-3140","0","0","2","2","0","0","0","0","0","1","0","0","2","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","2","2","1","1","0","4","0"
"hsa-mir-3141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3143","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0"
"hsa-mir-3144","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","4","1","0","10","0","1","0","0","5","0","1","0","0","0","1","1"
"hsa-mir-3145","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"hsa-mir-3147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3149","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3150a","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","6","1","0","2","0","0","0","0","1","0","0","0","3","0","0","3"
"hsa-mir-3150b","0","1","0","5","1","3","0","4","8","1","0","1","2","2","14","2","5","0","0","3","2","1","4","2","2","2","1","3","0","2","6","1","0","1","3"
"hsa-mir-3151","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3152","0","0","0","1","1","0","0","1","0","0","0","1","2","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-3153","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3154","1","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0"
"hsa-mir-3155a","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0","1","1"
"hsa-mir-3155b","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3156-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3156-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3156-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3157","0","0","3","4","0","2","0","2","5","2","1","0","13","9","4","2","2","0","0","1","2","0","1","0","5","0","2","2","3","3","3","5","0","0","4"
"hsa-mir-3158-1","0","0","0","1","0","0","0","0","1","0","0","0","6","0","0","2","0","0","2","0","0","0","0","1","1","0","1","0","3","0","1","1","0","2","1"
"hsa-mir-3158-2","0","1","0","0","0","2","0","0","0","2","0","0","3","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","2","1","1","0","1","1","1"
"hsa-mir-3159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3160-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3160-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3161","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","0","0","2","0","0"
"hsa-mir-3162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"hsa-mir-3163","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"hsa-mir-3165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3166","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3168","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3170","2","0","2","6","0","3","1","2","1","1","0","0","14","12","6","6","5","0","0","63","0","0","12","1","4","0","0","6","5","1","12","4","0","2","2"
"hsa-mir-3171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3173","2","1","0","0","0","3","0","2","3","1","0","0","13","5","3","3","1","0","1","10","2","0","0","1","1","0","1","6","4","3","1","4","2","0","4"
"hsa-mir-3174","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","2","1","0","0","4","0","0","0","0","1","1","6","0","1","2","2","5","0","0","0"
"hsa-mir-3175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3176","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","2","1","0","0","3","0","0","4","1","1","1","0","2","6","4","0","6","1","6","6"
"hsa-mir-3177","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0"
"hsa-mir-3178","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-3179-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3179-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3179-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3179-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3180-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3180-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3180-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3180-4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-3180-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3182","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3183","0","0","0","0","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","1","1","0","1","0","0","1","0","2"
"hsa-mir-3184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3186","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-3187","0","0","1","0","0","1","0","0","2","0","1","0","0","2","0","5","0","0","0","4","0","0","2","0","0","2","1","0","3","2","1","3","0","1","1"
"hsa-mir-3188","1","2","1","0","0","0","0","0","4","1","0","0","1","0","0","2","3","0","0","3","0","0","0","0","0","0","1","1","1","2","1","0","0","1","0"
"hsa-mir-3189","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","8","3","0","1","0","6","0"
"hsa-mir-3190","1","0","0","1","0","0","0","0","1","1","0","2","2","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","2","2","2","1","0","2"
"hsa-mir-3191","0","0","0","2","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","2","4","3","0","2","0","3","3"
"hsa-mir-3192","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","1","0","1","0","2","0","0","0","1"
"hsa-mir-3193","2","0","1","3","1","1","1","1","4","1","2","0","5","3","2","7","2","0","0","1","0","0","1","1","1","3","0","0","4","0","5","0","0","1","3"
"hsa-mir-3194","0","0","0","2","0","2","0","2","1","0","0","0","5","4","1","7","0","0","0","7","4","0","6","1","2","0","2","5","0","2","3","6","3","3","2"
"hsa-mir-3195","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3196","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-3198-1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-3198-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3199-1","0","0","1","1","0","5","1","0","2","0","3","1","4","1","1","2","1","2","0","0","1","0","3","0","3","0","3","2","3","2","5","1","0","0","0"
"hsa-mir-3199-2","3","9","4","5","1","2","6","2","11","5","4","5","13","1","3","1","7","8","7","2","2","0","1","1","5","3","2","3","5","2","2","6","1","11","5"
"hsa-mir-32","39","48","63","141","97","122","21","259","198","21","39","20","288","284","277","316","279","18","19","297","314","19","96","42","265","54","274","299","192","126","196","289","100","150","166"
"hsa-mir-3200","2","4","1","4","1","11","6","3","15","1","14","6","28","7","7","27","13","2","5","51","17","2","167","1","4","7","5","3","9","7","38","36","4","9","10"
"hsa-mir-3201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3202-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-3202-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-320a","3826","3567","752","1310","1179","2157","2467","578","3951","2320","3037","2225","4865","2143","1202","2674","2423","3895","2369","2595","3200","724","1341","911","7317","415","4144","4307","3146","2491","2648","7871","1514","2908","2605"
"hsa-mir-320b-1","7","3","1","5","1","9","1","2","7","3","7","1","16","8","10","16","11","4","4","33","5","2","11","9","16","4","21","15","14","15","11","107","5","16","14"
"hsa-mir-320b-2","5","7","2","14","4","16","3","5","18","4","6","6","49","23","7","26","6","3","8","48","10","3","18","8","22","3","20","28","21","24","34","198","1","25","27"
"hsa-mir-320c-1","3","0","4","0","1","0","2","0","3","0","3","2","3","1","0","1","4","0","2","4","1","1","0","2","5","1","2","3","7","0","9","16","2","2","3"
"hsa-mir-320c-2","1","0","0","0","0","4","0","1","2","1","0","0","3","0","1","1","2","2","1","2","0","0","0","1","4","0","2","2","0","4","4","13","2","2","1"
"hsa-mir-320d-1","1","1","1","2","1","0","1","2","1","1","0","0","6","2","1","3","1","0","0","4","5","0","0","0","1","0","2","2","1","2","1","16","2","2","4"
"hsa-mir-320d-2","0","2","0","0","0","2","0","0","1","0","1","0","3","1","2","2","0","0","0","1","1","1","0","1","3","0","3","4","0","0","2","7","0","0","0"
"hsa-mir-320e","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0"
"hsa-mir-323a","4","2","4","9","0","26","3","6","17","3","15","4","77","23","24","9","12","6","7","9","2","0","4","3","20","0","23","25","11","31","48","29","6","4","7"
"hsa-mir-323b","0","1","1","5","0","41","0","4","14","1","5","2","130","10","17","13","5","4","6","36","6","1","10","0","16","0","3","27","13","93","73","58","4","8","8"
"hsa-mir-324","24","32","141","222","17","282","48","70","214","30","157","40","743","228","238","203","122","48","79","200","86","30","308","24","183","34","166","330","193","345","316","270","92","196","171"
"hsa-mir-325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-326","22","50","15","67","5","93","27","43","218","12","19","23","269","79","50","64","53","11","18","43","15","5","28","5","38","10","11","31","8","52","96","60","9","9","34"
"hsa-mir-328","58","66","57","86","8","257","85","64","271","74","239","86","922","76","88","136","168","71","190","112","33","4","62","3","149","10","86","106","34","104","82","165","18","30","64"
"hsa-mir-329-1","0","0","2","0","0","1","0","0","2","3","2","1","7","3","1","0","3","2","0","0","2","0","1","0","4","0","3","2","5","2","7","2","0","0","1"
"hsa-mir-329-2","0","2","2","0","1","1","1","1","2","0","3","0","4","1","1","1","2","1","2","2","1","0","0","1","4","1","6","2","8","1","4","1","0","1","2"
"hsa-mir-330","43","85","65","189","74","108","31","77","376","14","32","25","301","221","200","346","125","31","19","299","115","26","166","12","253","80","175","221","137","242","420","369","79","268","312"
"hsa-mir-331","15","35","36","87","15","121","16","61","128","16","47","8","467","116","107","185","82","24","46","275","56","6","62","15","78","20","62","271","103","120","187","130","44","64","106"
"hsa-mir-335","57","50","68","45","35","209","246","41","162","74","245","188","296","80","44","72","178","120","115","1459","188","86","535","82","155","91","313","595","474","440","196","556","358","169","253"
"hsa-mir-337","66","108","73","69","11","287","50","158","466","45","151","35","696","139","230","215","202","29","150","135","39","5","31","12","417","13","311","258","159","163","361","379","28","39","72"
"hsa-mir-338","5020","1705","4978","1436","602","6771","6456","1804","8139","5203","17648","6914","11375","2114","2270","3061","4774","6592","7781","947","319","6480","891","2687","2468","1179","5410","8227","5446","3404","6132","1144","3343","3096","6083"
"hsa-mir-339","61","45","33","365","18","211","49","241","624","48","108","54","799","593","457","273","240","41","83","303","213","22","134","33","234","20","301","445","153","197","166","564","562","129","122"
"hsa-mir-33a","7","18","29","191","8","234","5","190","199","6","35","5","1110","446","390","419","53","9","22","665","96","19","155","15","58","9","51","553","87","193","265","280","71","88","129"
"hsa-mir-33b","1","2","1","18","2","33","0","20","9","1","1","0","98","35","37","47","2","0","3","69","9","4","6","5","10","8","8","36","17","83","30","40","30","35","50"
"hsa-mir-340","58","59","70","42","85","56","44","51","86","62","317","60","183","51","65","80","160","41","75","85","136","6","47","7","175","46","135","88","138","45","91","118","31","106","64"
"hsa-mir-342","198","267","149","649","120","332","163","293","936","209","544","181","1386","912","990","557","895","173","287","238","500","14","108","65","974","187","1941","1923","607","471","418","951","539","860","1009"
"hsa-mir-345","4","6","14","112","2","161","2","30","78","1","18","3","260","168","134","104","34","0","7","572","31","4","51","12","42","15","52","102","50","72","99","81","72","63","62"
"hsa-mir-346","0","1","0","0","0","1","4","0","2","2","3","2","6","1","0","2","3","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
"hsa-mir-34a","168","256","292","1035","169","415","426","212","1109","145","399","332","2392","960","885","1189","724","135","286","284","693","239","114","92","1237","102","1387","977","1388","974","951","1064","866","979","956"
"hsa-mir-34b","0","0","3","6","1","1","0","2","1","1","0","1","10","4","1","2","3","2","0","6","0","0","1","0","8","1","14","8","8","8","3","10","1","8","2"
"hsa-mir-34c","0","4","11","3","3","2","7","3","9","3","11","5","11","14","8","11","26","6","5","9","14","2","10","1","76","9","70","15","33","13","18","44","2","21","17"
"hsa-mir-3529","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-3605","1","1","2","3","0","17","1","6","19","2","13","1","43","7","9","14","8","7","4","5","2","0","6","3","7","2","4","8","8","22","9","10","3","3","14"
"hsa-mir-3606","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3607","5","3","51","303","0","565","19","58","365","5","43","13","1489","461","612","777","34","22","58","1179","23","30","39","32","296","2","201","661","28","565","494","681","81","226","473"
"hsa-mir-3609","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","2","3","1","0","0","0","1","1","1"
"hsa-mir-361","1253","1366","1581","888","714","899","1933","1038","2230","1232","3506","1472","2857","1012","1012","1519","3280","1348","1591","2219","2697","443","1751","311","2716","601","2042","1295","2290","934","1159","1973","995","3813","1189"
"hsa-mir-3610","0","2","0","0","1","2","1","0","11","0","0","0","9","3","0","4","5","0","0","11","1","0","0","0","6","2","4","6","5","3","3","6","0","4","3"
"hsa-mir-3611","0","0","0","1","0","1","0","0","1","0","0","0","2","0","0","0","1","1","0","4","0","0","0","1","0","0","0","2","1","2","0","2","0","0","0"
"hsa-mir-3612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3613","4","6","21","37","10","28","3","23","30","5","13","1","75","63","35","44","48","8","3","50","112","9","62","12","38","8","48","101","60","43","64","123","17","43","63"
"hsa-mir-3614","2","6","6","18","23","8","5","7","56","3","7","3","65","21","26","43","19","0","1","26","15","11","16","4","50","8","28","32","95","41","40","14","38","70","56"
"hsa-mir-3615","11","19","20","23","0","43","4","16","31","13","29","1","73","35","26","29","29","4","12","232","11","7","30","4","15","5","13","34","19","26","42","28","26","45","27"
"hsa-mir-3616","0","0","0","4","0","0","0","4","1","0","0","0","5","2","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1"
"hsa-mir-3617","0","1","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0"
"hsa-mir-3618","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"hsa-mir-3619","0","0","0","1","0","2","0","1","0","0","1","0","4","0","0","0","0","0","0","11","1","0","2","0","0","0","1","0","1","2","1","0","1","3","4"
"hsa-mir-362","31","5","17","18","8","42","24","35","45","30","41","29","101","49","39","40","60","22","33","57","142","35","19","46","153","12","180","150","30","103","53","99","64","48","69"
"hsa-mir-3620","0","0","0","1","0","1","0","2","2","0","1","0","1","0","1","2","0","0","0","0","0","0","5","0","0","0","0","0","2","0","1","4","0","0","2"
"hsa-mir-3621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3622a","1","1","2","0","2","2","1","0","1","1","3","2","2","0","1","0","2","3","4","0","2","0","0","0","2","0","0","1","0","0","1","0","0","4","0"
"hsa-mir-3622b","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-363","57","32","43","34","16","34","72","101","105","65","172","75","133","39","64","43","194","84","60","16","8","0","84","0","81","3","16","24","8","11","31","12","62","23","3"
"hsa-mir-3646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"hsa-mir-3648-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3648-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3649","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-3651","0","0","4","0","0","3","0","2","6","0","0","1","18","7","10","1","1","1","0","11","2","1","8","10","3","0","16","15","7","17","2","0","8","2","0"
"hsa-mir-3652","0","0","1","0","2","2","0","0","10","0","0","0","6","7","0","22","0","0","0","6","0","0","1","2","6","1","0","1","3","6","4","7","4","4","2"
