"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-6132","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","3","0","0","2","0","0","0","0","1","0","1","0","2","0","0","0","0","1","0","0","2","2","0","1","0","0","0","0"
"hsa-mir-6133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-615","0","0","1","4","3","0","0","0","2","1","3","1","0","2","0","0","2","0","3","3","1","4","2","0","3","6","55","8","8","0","2","51","13","6","0","14","8","7","3","27","5","32","14","56","20","1","6","81","11","8","7"
"hsa-mir-616","0","22","0","3","6","0","0","6","18","1","3","1","2","2","7","1","0","23","5","13","3","3","3","25","3","7","15","2","0","5","8","51","8","3","9","13","5","1","3","6","19","6","5","46","12","3","3","12","1","24","0"
"hsa-mir-6165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-618","2","1","0","0","1","1","0","1","1","1","0","2","1","0","3","2","2","0","0","1","0","1","1","0","0","0","3","0","0","0","1","20","0","2","5","7","0","20","3","0","1","5","1","4","3","1","0","1","0","1","1"
"hsa-mir-619","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"hsa-mir-622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","3","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0"
"hsa-mir-623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-624","4","6","2","5","0","5","6","8","3","7","4","5","7","18","4","4","6","5","9","7","0","6","7","9","2","5","6","10","1","15","5","2","12","15","13","11","24","7","22","7","14","11","3","14","3","9","0","15","4","5","11"
"hsa-mir-625","368","3587","264","262","281","316","138","1760","3588","187","397","2435","2233","10775","640","1219","1268","2402","372","2848","154","3860","537","1148","345","3507","4043","2647","1741","3769","607","328","2997","3495","6113","3091","1908","1140","1979","496","3961","3865","1172","2490","945","2329","1695","3907","790","1560","726"
"hsa-mir-626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-627","1","16","1","1","0","0","0","4","7","0","2","3","0","30","1","6","0","7","3","20","1","16","1","6","1","9","7","0","1","7","1","8","7","10","19","21","6","0","2","2","38","5","1","17","8","4","7","28","3","8","1"
"hsa-mir-628","9","188","22","24","28","30","23","33","114","17","7","17","13","89","30","16","33","72","13","61","11","68","26","167","15","55","60","27","18","18","27","57","32","29","59","74","19","23","28","29","114","46","17","145","54","19","18","129","18","30","11"
"hsa-mir-629","67","295","201","56","56","74","73","286","328","97","86","246","212","415","337","139","161","246","71","372","238","294","534","315","93","189","480","362","215","259","295","654","106","311","439","326","388","421","539","118","481","419","93","596","220","376","79","349","187","622","178"
"hsa-mir-630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-632","0","0","0","0","1","0","0","0","1","1","1","0","1","2","1","0","0","2","0","1","0","2","0","1","1","0","1","1","2","5","2","1","0","0","3","1","4","1","2","1","2","3","0","12","1","2","0","2","0","3","1"
"hsa-mir-633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-636","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","7","1","2","3","1","0","0","0","1","0","0","0","5","0","2","1","4","0","1","0"
"hsa-mir-637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-639","0","1","0","0","0","0","1","3","1","1","0","1","3","3","0","0","0","2","0","1","0","1","0","1","0","2","7","3","2","6","4","2","0","3","6","1","1","3","5","2","3","0","2","11","3","5","0","4","1","6","1"
"hsa-mir-640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-641","2","1","0","0","1","1","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","1","1","0","1","2","5","1","0","2","1","2","0","0","1","1","0","1","4","0","2","0","1","3","0","0","0","1","0","0","0"
"hsa-mir-642a","0","73","4","0","0","1","0","8","47","1","0","2","0","48","0","9","2","48","0","54","5","11","3","13","0","8","14","1","9","7","3","4","10","12","17","20","36","0","3","21","88","7","1","20","7","0","8","31","8","38","0"
"hsa-mir-642b","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-643","0","1","1","0","0","0","0","1","4","1","0","2","0","6","2","2","3","1","0","0","1","1","4","5","0","1","1","4","6","3","3","4","6","0","3","4","3","2","2","0","4","1","2","5","0","2","3","2","4","3","1"
"hsa-mir-644a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6499","0","0","2","0","0","0","0","0","0","4","0","0","0","0","5","0","0","0","0","1","9","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","33","0"
"hsa-mir-650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-6500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6501","0","2","0","0","0","0","0","0","0","0","0","2","2","1","0","0","1","1","0","4","0","1","0","1","0","1","2","0","0","1","1","0","1","2","1","3","1","0","0","1","1","2","0","6","1","2","0","2","0","4","0"
"hsa-mir-6502","0","5","0","0","0","2","0","1","3","0","0","4","1","1","0","1","1","2","1","1","0","1","1","0","1","0","2","2","1","1","0","1","1","1","2","2","6","3","1","1","2","1","2","3","0","2","0","2","0","1","1"
"hsa-mir-6503","0","4","0","0","0","0","1","0","1","0","0","1","0","4","2","0","0","1","0","6","0","3","0","1","2","0","4","2","0","4","0","0","0","1","12","1","0","0","3","1","2","3","0","4","1","2","0","9","1","1","2"
"hsa-mir-6504","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-6505","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6506","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","2","1","0","0","0"
"hsa-mir-6507","0","0","9","10","0","0","18","1","1","6","0","0","1","0","18","0","7","1","0","1","9","1","33","1","0","1","0","0","0","1","0","0","0","0","0","0","1","2","10","0","1","6","0","0","1","0","0","0","0","0","2"
"hsa-mir-6508","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6509","1","3","1","0","1","1","2","1","0","4","1","5","2","2","9","4","5","3","1","4","3","1","8","3","0","0","2","4","1","3","0","5","2","3","8","3","1","6","6","1","1","1","0","6","0","7","1","1","0","3","5"
"hsa-mir-651","3","9","6","1","2","2","0","8","9","0","2","5","3","18","9","3","2","3","4","6","3","4","18","6","3","6","13","4","5","17","14","9","11","13","17","4","18","16","8","4","11","21","17","4","6","23","5","6","5","6","5"
"hsa-mir-6510","0","0","88","0","0","0","0","0","0","139","0","0","0","0","389","0","0","0","0","0","291","0","597","0","0","0","1","0","2","0","3","1","0","0","0","2","49","7","18","1","0","70","2","1","1","8","0","1","0","9","0"
"hsa-mir-6511a-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6511a-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6511a-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6511a-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6511b-1","7","4","1","8","11","5","3","0","3","2","11","0","0","4","6","2","1","4","7","6","2","4","6","46","13","7","2","3","1","1","1","7","0","3","4","7","0","2","2","9","7","7","1","3","10","3","0","7","5","3","1"
"hsa-mir-6511b-2","4","3","1","7","7","2","2","1","1","1","6","0","0","2","9","1","2","6","9","0","3","7","4","59","6","5","3","1","0","3","2","13","5","2","2","8","1","1","1","4","3","5","1","5","9","3","1","6","2","2","1"
"hsa-mir-6512","0","0","1","0","0","0","0","0","0","4","0","0","0","0","2","0","0","1","0","0","4","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6513","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","1","2","0","2","0","1","1","1","0","1","1","2","1","0","1","1","0","1","0","0","2","0","1","1","1","1","1","1","0","1","1","1","2"
"hsa-mir-6514","1","1","0","2","2","1","5","1","1","0","0","1","1","0","0","0","2","1","0","0","1","1","4","2","0","0","0","0","1","0","0","1","2","2","2","0","1","1","0","1","2","1","2","0","1","1","1","2","0","0","0"
"hsa-mir-6515","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","0","1","0","0","1","1","0","0","2","1","0","0","1","1","0"
"hsa-mir-6516","0","7","0","1","0","0","1","3","3","1","0","1","0","2","0","1","0","6","0","3","0","0","1","0","0","4","1","2","1","3","2","8","4","8","2","4","1","2","2","1","4","6","1","4","2","4","0","11","1","5","0"
"hsa-mir-652","35","109","28","16","21","19","16","84","77","18","9","53","80","247","42","63","39","114","13","114","28","96","87","99","23","69","160","84","77","94","70","256","148","73","243","468","164","77","75","110","196","173","94","464","71","149","62","264","65","180","35"
"hsa-mir-653","4","22","9","6","11","3","5","11","26","5","2","4","4","44","26","7","4","14","8","22","4","7","25","56","3","20","26","6","5","5","10","49","2","12","19","19","16","5","30","54","14","31","6","166","18","11","18","14","34","21","5"
"hsa-mir-654","23","162","90","80","12","45","75","30","171","62","25","80","31","672","109","40","78","124","22","153","49","387","83","211","54","153","104","136","20","88","25","105","36","48","327","127","48","254","133","4","317","98","40","78","266","153","26","225","61","56","67"
"hsa-mir-655","3","10","12","4","2","6","2","7","9","5","4","5","2","26","15","1","2","6","1","10","0","17","10","6","9","20","7","8","4","14","6","6","7","17","71","9","3","23","13","3","19","23","2","6","28","3","8","9","11","8","3"
"hsa-mir-656","0","6","1","2","0","1","0","5","2","2","1","1","2","16","4","1","2","1","0","12","4","1","4","0","3","3","4","2","2","0","2","2","1","1","14","3","3","8","4","0","5","15","2","4","8","5","2","10","6","2","1"
"hsa-mir-657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-658","1","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","4","0","1","1","1","0","1","5","2","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","6","3","0","0","1","0","2","0"
"hsa-mir-659","3","7","0","0","4","2","2","1","9","3","1","3","2","10","7","1","2","8","3","6","1","0","5","13","3","1","6","1","1","4","2","6","1","2","4","4","2","1","9","5","6","5","1","9","10","3","0","14","4","6","3"
"hsa-mir-660","171","181","134","103","106","65","46","167","175","38","62","102","117","502","137","181","108","117","120","214","84","136","187","110","111","145","165","677","242","307","117","85","228","493","570","115","195","356","205","193","206","332","175","400","120","368","354","287","336","96","209"
"hsa-mir-661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-662","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0"
"hsa-mir-663a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-663b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-664a","113","113","37","105","70","70","76","43","93","27","99","55","41","250","132","43","44","103","121","153","33","141","144","183","113","174","50","270","21","91","18","45","36","182","177","59","94","99","155","98","122","204","21","163","137","51","69","110","118","80","31"
"hsa-mir-664b","11","30","5","5","12","8","11","7","13","7","8","6","10","20","18","5","7","21","20","20","3","33","19","22","7","12","7","19","4","14","1","11","5","17","35","10","9","11","9","10","20","17","3","13","25","12","7","20","16","28","3"
"hsa-mir-665","0","5","2","2","1","1","3","1","5","1","0","1","0","6","0","1","1","4","0","5","2","4","3","2","0","3","0","0","0","2","0","1","1","0","9","1","0","2","1","0","1","2","1","2","7","0","0","1","1","3","1"
"hsa-mir-668","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","3","1","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","1","0","0"
"hsa-mir-670","0","2","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-671","9","31","5","8","5","5","14","9","33","4","9","10","11","22","9","6","6","26","6","45","8","19","8","36","5","15","44","21","21","8","18","54","41","15","39","39","10","21","10","44","41","42","13","32","32","18","52","51","15","36","5"
"hsa-mir-6715a","0","0","0","0","0","1","0","4","1","0","1","0","1","3","0","0","1","0","0","1","0","11","0","2","0","19","1","22","2","0","0","0","0","3","1","9","0","0","0","9","4","1","0","8","0","2","6","0","1","0","0"
"hsa-mir-6715b","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","2","0","4","0","2","0","0","0","0","0","1","4","1","3","0","2","0","0","0","3","2","3","2","1","1","1","0","3","0","0","0","0","0","0","0","0"
"hsa-mir-6716","2","1","2","4","1","1","3","2","3","0","1","1","1","6","2","1","3","1","2","1","0","1","0","3","1","0","1","4","1","1","1","0","1","0","9","2","2","2","1","0","5","0","1","0","5","2","1","1","1","2","1"
"hsa-mir-6717","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6718","2","3","0","0","0","0","1","0","2","1","0","2","1","1","3","0","5","2","1","5","1","4","2","2","0","0","3","1","0","0","0","4","2","1","25","6","1","1","2","144","10","3","3","0","5","2","1","5","1","1","4"
"hsa-mir-6719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6720","20","3","4","12","29","24","26","4","7","2","13","4","2","8","20","4","8","3","13","6","7","3","10","66","8","15","3","3","2","5","2","6","0","7","3","0","6","3","11","0","6","7","2","5","7","4","12","0","3","4","2"
"hsa-mir-6721","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6723","1","0","0","0","0","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2","1","0","0","0","2","1","1","1","1","1","1","1","0","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0"
"hsa-mir-6724-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6724-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6724-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6724-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6726","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","2","1","0","0","3","0","0","0","0","0","0","0","1","0","1","1","2","0","0","2","0","3","0","0","1","2","0","0","2","0","2","0"
"hsa-mir-6727","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-6728","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","2","4","1","0","3","0","0","0","0","2","2","1","0","0","0","3","0","0","1","1","2"
"hsa-mir-6729","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-6730","0","1","1","0","0","0","1","0","2","0","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","2","0","0","0","0","1","0","0","1","0","0","0","0","3","1","1","0","1","4","0","0","0","0","1","0"
"hsa-mir-6731","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","1","0","2","1","0","0","0","0","1","0","0","1","0","0","0","2","0","1","0"
"hsa-mir-6732","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"hsa-mir-6733","0","1","0","0","0","1","1","0","1","0","0","1","0","5","1","0","0","1","0","3","1","0","0","1","1","3","1","2","0","0","1","3","2","1","4","3","0","2","1","2","2","2","0","1","1","2","1","1","1","2","0"
"hsa-mir-6734","0","1","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","2","1","1","2","0","0","1","1","0","0","0","1","2","0","0","2","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","0"
"hsa-mir-6735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","0","4","0","1","0","0","0","0","1","1","2","0","0"
"hsa-mir-6736","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6737","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","1","0","0","1","0","0","1","2","1","0","2","0","1","0","0","0","0","1","0","0","1","0","2","0"
"hsa-mir-6738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
