"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-mir-6880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-6881","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-6882","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","3","0","0","1","0","0","1","0","2","2","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0"
"hsa-mir-6883","0","1","0","0","0","0","1","1","2","0","0","2","1","2","0","3","0","0","0","0","0","0","1","0","0","2","1","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6884","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","3","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6885","0","3","0","2","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","1","0","0","0","1","0","1","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6886","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-6887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6888","0","0","0","0","1","0","1","1","0","3","0","0","0","0","0","2","0","2","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-6889","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"hsa-mir-6890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6891","1","5","0","0","0","0","0","0","2","0","2","0","0","0","0","0","3","0","0","2","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","1","0","0","0","1","2","0","0","0","0"
"hsa-mir-6892","3","36","11","4","6","0","7","10","5","13","10","18","12","3","3","6","9","8","4","7","5","19","7","11","9","11","1","9","3","1","4","0","1","3","13","2","1","8","4","7","23","9","3","10","0","11","5","7","13","2","2","29","32","11","4","2","5","11","12","6","1","1","3","5"
"hsa-mir-6893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6894","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","1","0","1","1","0","0","0","1","2","0","0","0","0","1","0","0","0","0"
"hsa-mir-6895","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"hsa-mir-7-1","145","110","95","97","56","51","192","149","85","71","91","89","116","65","73","114","36","163","48","121","130","107","90","87","84","171","93","73","24","111","45","133","92","47","102","26","30","25","180","24","79","107","12","31","24","377","193","54","76","77","94","64","121","88","9","60","52","30","75","109","29","52","57","54"
"hsa-mir-7-2","3","2","0","1","0","0","0","0","4","2","0","1","0","0","0","2","1","3","0","2","0","3","3","0","0","1","0","1","0","1","0","1","1","0","1","2","0","1","3","4","6","2","0","1","0","7","4","2","0","1","1","2","3","4","0","10","1","0","1","2","0","0","1","2"
"hsa-mir-7-3","0","2","1","0","0","1","2","2","1","0","3","1","1","0","0","1","0","0","1","2","1","2","0","0","0","1","0","0","0","2","1","0","1","0","4","0","0","0","3","0","3","1","1","0","0","6","2","0","1","0","4","0","2","1","1","9","0","0","0","0","0","0","0","4"
"hsa-mir-708","70","65","14","46","17","17","61","40","15","8","18","79","75","20","9","20","46","115","5","25","51","87","42","18","19","117","39","30","12","17","7","68","2","40","58","0","0","4","433","64","11","290","1","1","21","2","4","19","28","21","4","120","1","50","68","1","6","7","111","567","98","212","54","236"
"hsa-mir-7106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7108","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7109","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
"hsa-mir-711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7110","3","6","1","0","0","1","0","1","0","4","0","0","1","1","0","0","0","3","0","4","2","0","3","0","0","2","1","1","1","2","3","0","0","0","0","0","1","0","2","1","1","3","3","2","0","1","0","3","2","1","1","0","2","1","0","0","3","1","2","2","0","1","1","1"
"hsa-mir-7111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7112","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","3","3","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","2","0","0","2","0","0"
"hsa-mir-7113","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","1"
"hsa-mir-7114","0","1","0","0","3","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-7150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7151","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","1","0","4","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","4","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7152","1","0","0","0","0","0","2","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","4","0","0","0","0","0","0","0","1","3","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7155","0","1","0","0","1","1","1","0","0","0","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","3","0","2","0","1","1","0","0","0","0","0","2","1","1","3","2","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","1","0","0","0"
"hsa-mir-7156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","3","0","0","0","0","0","0","0","2","0","1","0","0","0","0","2","0","0","0","0","0","0","3"
"hsa-mir-7157","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-7161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-744","219","237","243","286","184","113","274","448","273","196","301","344","300","280","161","236","94","308","217","313","386","253","226","189","206","340","255","240","99","299","191","236","150","113","168","188","21","136","282","113","664","599","87","149","76","161","124","96","294","291","321","189","258","190","65","154","53","97","218","161","90","173","117","287"
"hsa-mir-7515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-758","177","121","149","180","96","74","376","263","147","108","154","203","183","91","261","139","53","503","136","323","269","133","132","100","69","294","213","158","40","157","81","143","4","31","557","3","8","31","303","68","59","88","21","19","30","27","26","134","22","41","18","37","43","87","48","9","21","55","114","182","14","29","510","153"
"hsa-mir-759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-760","2","3","1","1","1","0","0","1","2","4","2","0","0","1","3","0","1","1","0","3","2","8","4","0","0","2","1","2","0","0","1","2","3","2","15","2","3","0","10","4","28","4","2","1","3","10","13","3","6","3","0","8","2","4","1","0","1","3","10","2","0","1","2","4"
"hsa-mir-761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7641-1","0","1","0","0","0","0","1","0","0","1","2","0","2","0","0","0","0","0","2","0","0","3","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","5","0","1","2","0","0","0","3","0","0","0","0","0","0","0","0"
"hsa-mir-7641-2","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","5","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-765","2","1","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","2","0","2","0","1","3","2","0","1","3","0","0","1","0","1","1","0","17","2","0","0","1","4","3","4","1","1","1","1","1","1","3","0","2","3","12","1","0","0","1","1","2","1","1","0","0","1"
"hsa-mir-766","77","97","81","51","50","38","58","91","62","63","57","53","68","46","32","63","30","96","41","54","73","99","87","70","44","127","45","38","13","63","45","61","1","79","126","10","18","18","94","69","142","316","90","139","10","71","132","39","121","22","123","211","43","143","55","20","43","35","93","39","41","22","55","42"
"hsa-mir-767","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","3","28","0","0","0","1","1","0","0","272","1","0","0","10","91","140","513","285","25","902","0","0","0","372","209","25","0","0","0","0","0","0"
"hsa-mir-769","65","113","72","96","44","42","103","110","80","48","86","101","74","43","55","83","42","124","64","87","103","92","76","59","57","127","88","80","20","91","40","73","71","80","193","23","40","103","291","101","188","190","103","153","38","83","92","105","117","142","40","91","87","97","37","75","79","34","152","66","76","65","45","244"
"hsa-mir-770","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","0","2","0","2","0","1","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-7702","10","1","10","16","5","13","30","7","30","14","11","2","23","9","8","12","1","12","17","30","2","14","17","19","1","51","13","2","6","5","4","13","1","25","4","1","1","0","39","1","5","19","4","2","2","1","11","2","8","17","0","4","5","3","1","10","6","1","2","20","0","3","0","0"
"hsa-mir-7703","0","1","0","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7704","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7705","1","8","3","3","4","0","4","0","4","0","0","2","3","0","0","3","4","3","5","0","2","4","4","8","2","0","0","5","0","10","0","0","17","3","1","3","0","0","6","4","3","7","8","1","0","1","3","2","0","1","2","2","2","6","3","0","0","3","3","0","1","3","0","5"
"hsa-mir-7706","5","13","3","6","4","3","6","8","4","5","7","6","1","7","5","0","5","6","4","6","3","6","4","2","3","5","5","1","0","4","6","1","11","12","38","3","15","4","16","15","11","14","8","27","8","5","32","2","8","11","2","9","15","10","8","6","1","6","25","4","6","3","4","9"
"hsa-mir-7843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7844","0","1","0","1","1","0","1","2","2","0","0","0","1","0","0","1","2","2","1","0","0","1","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","0","0","0","4","1","0","0","1","0"
"hsa-mir-7845","0","0","0","2","0","1","2","0","2","0","1","0","0","0","1","2","1","1","3","1","1","1","2","1","0","5","3","0","0","0","0","4","0","3","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"hsa-mir-7846","2","1","0","0","0","2","3","3","3","1","1","0","0","0","3","2","0","2","1","1","4","1","5","0","2","6","2","0","0","2","2","3","3","0","0","0","0","3","5","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"hsa-mir-7847","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7848","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-7849","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7850","2","1","2","3","1","2","0","2","2","5","0","0","3","1","1","2","2","2","1","1","2","1","1","1","0","4","0","0","0","1","0","1","1","0","0","0","0","0","4","1","0","0","0","1","0","1","0","1","1","0","2","0","0","2","0","0","1","0","1","0","0","0","0","0"
"hsa-mir-7851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-7853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7854","0","2","2","3","2","2","0","0","0","1","0","0","0","2","5","2","1","3","0","1","0","3","0","3","0","1","2","0","0","1","2","1","1","6","7","1","2","1","2","4","0","0","0","3","0","0","2","0","2","2","0","3","0","0","0","2","1","0","4","2","1","0","0","1"
"hsa-mir-7855","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7973-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7973-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7974","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","2","0","0","7","0","2","0","0","3","0","0","0","0","0","18","1","0","1","1","0","2","3","3"
"hsa-mir-7975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7976","1","1","1","2","0","0","9","2","0","1","2","2","0","1","0","3","0","0","1","1","0","1","0","0","0","3","2","1","0","0","2","0","0","0","0","1","0","1","2","0","0","2","0","0","1","1","0","0","1","1","1","2","0","3","0","1","1","0","0","0","0","0","0","1"
"hsa-mir-7977","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-802","8","6","3","0","0","2","8","7","1","3","0","1","1","7","3","9","0","4","6","24","13","13","14","5","6","4","2","4","5","10","1","1","1","0","0","0","0","0","4","16","1011","3","2","0","1","0","0","0","0","0","0","0","0","72","0","1","0","0","2","0","0","56","0","2"
"hsa-mir-8052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-8053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-8054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
