"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-mir-6853","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","2","1","0","0","0","1","0","2","0","0","0","1","0","1","1","0","2","0","0","1","0","0","0","0","0","0"
"hsa-mir-6854","1","0","3","1","2","1","2","1","0","2","1","0","4","2","0","1","1","1","2","0","3","2","1","1","0","0","0","2","1","2","0","3","3","5","9","2","3","2","4","9","3","1","1","0","0","0","2","1","1","2"
"hsa-mir-6855","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","3","3","0","1","0","0","1"
"hsa-mir-6856","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-6857","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6858","0","0","0","0","1","1","1","0","0","0","3","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","0"
"hsa-mir-6859-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6859-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6859-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6859-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6860","1","0","0","0","1","0","0","0","4","1","0","0","0","0","0","0","2","0","0","3","2","2","0","0","4","1","1","1","1","6","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2"
"hsa-mir-6861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6862-1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6862-2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"hsa-mir-6863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"hsa-mir-6865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-6867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6868","3","5","0","0","4","0","0","0","1","0","0","2","0","0","1","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","5","2","4","0","2","5","0","0","0","0","0","2","1","0","1","2"
"hsa-mir-6869","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6870","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","2","0","0","0","0","0","1","1","0"
"hsa-mir-6871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-6873","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-6874","0","2","1","0","0","0","1","1","2","1","1","0","2","0","2","4","1","1","1","0","2","0","0","2","0","4","0","0","1","0","0","1","1","0","0","2","0","0","1","0","1","0","0","0","0","0","2","0","0","1"
"hsa-mir-6875","1","0","3","1","1","0","1","0","0","1","1","0","0","0","3","0","3","0","1","0","0","4","2","3","2","1","0","0","0","5","1","8","1","2","0","4","9","0","7","0","10","2","2","1","2","1","10","0","0","3"
"hsa-mir-6876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-6877","2","1","0","0","1","0","0","0","1","2","0","1","0","1","1","1","2","3","1","2","0","0","1","0","0","3","0","0","1","0","0","2","0","0","1","1","1","0","3","2","0","1","2","1","0","1","3","1","0","0"
"hsa-mir-6878","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-6879","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","2","1","0","0","0","1","0","1","0","0","5","1","0","0","0","0","0"
"hsa-mir-6880","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3","0","0","0","0"
"hsa-mir-6881","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-6882","0","1","0","1","0","0","0","1","1","2","0","0","2","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","4","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0"
"hsa-mir-6883","0","2","0","1","0","0","1","0","3","1","1","1","0","2","1","0","0","1","0","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","3","0","2","1","0","0","0"
"hsa-mir-6884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-6885","0","1","0","1","0","0","0","1","2","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","3","2","0","1","1","1","1"
"hsa-mir-6886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-6887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6888","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0"
"hsa-mir-6889","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-6890","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-6891","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","1","0","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","3","1","1","1","0","4"
"hsa-mir-6892","18","2","18","5","9","2","23","6","8","4","4","5","9","4","9","4","13","9","5","17","8","22","5","7","3","6","6","11","9","17","7","3","3","10","26","5","1","3","6","5","26","24","12","2","17","21","36","1","2","3"
"hsa-mir-6893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6894","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","2","1","0","1","3","1","0","0","1","3","1","0","0","0","2","0","1","0","1","1","0","3","0","0","1","1","3","3","0","2","0","0","1"
"hsa-mir-6895","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","1","0","2","3","0","3","1","0","1","0","0","0","0","0","1","1","3","0","1","2","0","3","0","1","1","0","1","2"
"hsa-mir-7-1","176","142","107","56","118","52","97","79","121","85","91","71","91","51","147","114","77","97","167","71","158","90","44","109","83","76","70","44","152","76","13","46","119","68","150","59","62","29","115","165","260","38","92","76","162","109","237","22","64","54"
"hsa-mir-7-2","3","1","1","0","2","0","2","1","0","1","2","1","2","0","0","3","1","2","1","1","2","1","0","1","2","2","1","0","0","2","0","0","1","1","12","3","0","0","2","0","4","0","0","2","2","2","3","0","0","0"
"hsa-mir-7-3","2","3","0","0","4","1","1","0","1","0","1","1","3","0","0","0","2","0","2","0","1","1","1","0","2","0","1","1","0","2","0","0","1","1","5","4","0","0","2","2","3","1","0","1","0","0","2","0","0","1"
"hsa-mir-708","33","64","21","62","131","43","20","17","24","38","21","20","50","14","51","17","12","59","42","8","25","26","21","34","16","403","1","117","1","6","2","6","404","8","172","16","11","58","448","0","28","84","40","9","176","39","9","66","175","204"
"hsa-mir-7106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-7107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-7109","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7110","0","0","3","2","1","1","1","2","1","1","1","2","0","0","3","1","0","1","1","0","0","0","1","0","3","5","1","3","0","1","0","1","1","5","3","2","1","0","1","2","2","8","2","0","1","0","2","0","0","4"
"hsa-mir-7111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-7112","0","0","0","1","2","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","1"
"hsa-mir-7113","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","2","1","1","0","0","0","0"
"hsa-mir-7114","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0"
"hsa-mir-7150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7151","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-7152","3","2","0","2","2","1","2","1","1","0","0","0","0","1","1","3","2","2","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","6","0","1","0"
"hsa-mir-7153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7155","0","0","1","1","1","0","0","0","1","0","1","0","2","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","1"
"hsa-mir-7156","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7157","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"hsa-mir-7159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-7161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0"
"hsa-mir-7162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-744","490","255","351","173","345","172","222","196","305","280","195","148","230","139","465","208","359","237","245","292","366","178","198","144","236","273","212","214","319","306","123","49","201","140","311","105","132","185","198","107","82","131","164","382","342","292","164","247","102","213"
"hsa-mir-7515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-758","561","229","158","94","190","79","177","165","248","258","143","95","284","117","295","183","185","194","204","275","198","137","68","66","84","491","31","97","15","321","18","10","119","50","632","14","294","47","14","20","36","103","54","731","107","317","108","123","30","54"
"hsa-mir-759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-760","3","0","3","0","4","0","1","3","0","0","0","0","2","1","2","1","1","0","2","1","0","3","3","0","2","11","4","6","7","5","1","6","6","7","4","4","4","3","10","1","27","6","1","2","15","1","6","2","0","1"
"hsa-mir-761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7641-1","0","0","0","0","1","0","1","0","0","0","2","1","0","0","3","0","0","1","0","0","0","0","1","0","0","2","0","0","2","1","0","2","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-7641-2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1"
"hsa-mir-765","1","0","0","0","2","1","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","4","0","0","0","0","2","1","0","7","1","9","0","2","2","2","4","6","2","4","3","2","0","4","10","0","2","1","0","1"
"hsa-mir-766","73","55","57","48","88","51","75","32","69","43","39","42","59","22","90","71","77","44","74","79","54","69","31","25","58","88","111","110","90","58","42","32","76","42","71","139","48","66","49","146","71","109","217","29","45","66","101","21","46","36"
"hsa-mir-767","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","3","197","1","313","1","0","488","21","84","2","90","0","0","262","0","239","167","0","0","0","1","1","0","0"
"hsa-mir-769","99","88","87","38","120","48","88","60","94","87","70","35","81","44","113","77","82","59","62","99","117","64","42","43","55","155","68","106","76","128","49","117","141","89","166","120","57","73","162","79","81","146","115","175","234","80","98","61","48","133"
"hsa-mir-770","0","3","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","1","0","4","0","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0"
"hsa-mir-7702","31","15","38","2","23","7","20","15","6","12","12","2","3","5","23","5","9","6","10","10","5","10","5","3","12","0","16","2","0","0","6","2","4","4","9","1","6","1","24","0","77","6","1","2","2","16","2","0","13","2"
"hsa-mir-7703","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","1","0","0","0"
"hsa-mir-7704","0","1","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7705","1","1","1","0","0","1","3","1","2","2","4","0","3","1","4","1","1","1","2","2","3","5","0","1","0","3","2","1","1","5","1","1","4","0","2","0","0","2","4","3","2","2","4","3","1","3","3","1","0","2"
"hsa-mir-7706","17","4","5","6","8","3","2","3","3","8","0","2","10","4","7","3","5","2","8","3","1","4","2","2","5","16","4","10","8","17","7","7","7","3","4","19","9","12","3","1","15","8","9","26","16","7","13","2","2","16"
"hsa-mir-7843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7844","1","2","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","5","4","1","0","0","1"
"hsa-mir-7845","6","0","4","2","0","0","2","4","1","0","1","0","4","1","3","1","0","1","1","0","0","0","0","0","2","0","0","0","0","1","1","0","1","0","1","0","2","0","0","0","0","2","2","0","1","2","1","0","2","0"
"hsa-mir-7846","5","0","6","1","5","4","1","3","0","1","3","0","3","1","4","2","3","2","1","1","1","2","1","0","0","0","0","2","0","0","1","1","5","1","4","0","1","1","2","0","8","2","2","0","1","2","5","2","0","1"
"hsa-mir-7847","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7849","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-7850","3","0","0","1","0","0","2","2","6","2","2","1","0","2","4","2","1","0","1","2","3","2","1","0","4","0","0","1","1","0","0","1","0","0","1","1","0","0","0","5","0","1","1","0","0","2","4","0","0","0"
"hsa-mir-7851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"hsa-mir-7852","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-7853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7854","6","1","1","0","2","1","6","1","2","0","0","2","6","0","3","0","0","2","1","0","2","4","0","2","1","0","0","4","1","5","0","1","1","4","2","3","0","1","3","0","1","1","2","1","2","3","3","1","0","5"
"hsa-mir-7855","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7973-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7973-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7974","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","2","3","0","1","0","0","0","0","1","3","0","0","0","1","0","0","0","1","1"
"hsa-mir-7975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7976","3","1","0","0","1","1","1","3","0","0","2","1","1","0","3","1","2","1","2","0","0","0","0","1","0","0","1","3","1","4","0","1","0","0","1","0","0","0","1","0","1","5","1","2","0","2","2","0","0","0"
